State,Murder,Assault,UrbanPop,Rape,Latitude,Longitude
AL,13.2,236,58,21.2,32.31823,-86.902298
AK,10,263,48,44.5,66.160507,-153.369141
AZ,8.1,294,80,31,34.048927,-111.093735
AR,8.8,190,50,19.5,34.799999,-92.199997
CA,9,276,91,40.6,36.778259,-119.417931
CO,7.9,204,78,38.7,39.113014,-105.358887
CT,3.3,110,77,11.1,41.599998,-72.699997
DE,5.9,238,72,15.8,39,-75.5
FL,15.4,335,80,31.9,27.994402,-81.760254
GA,17.4,211,60,25.8,33.247875,-83.441162
HI,5.3,46,83,20.2,19.741755,-155.844437
ID,2.6,120,54,14.2,44.068203,-114.742043
IL,10.4,249,83,24,40,-89
IN,7.2,113,65,21,40.273502,-86.126976
IA,2.2,56,57,11.3,42.032974,-93.581543
KS,6,115,66,18,38.5,-98
KY,9.7,109,52,16.3,37.839333,-84.27002
LA,15.4,249,66,22.2,30.39183,-92.329102
ME,2.1,83,51,7.8,45.367584,-68.972168
MD,11.3,300,67,27.8,39.045753,-76.641273
MA,4.4,149,85,16.3,42.407211,-71.382439
MI,12.1,255,74,35.1,44.182205,-84.506836
MN,2.7,72,66,14.9,46.39241,-94.63623
MS,16.1,259,44,17.1,33,-90
MO,9,178,70,28.2,38.573936,-92.60376
MT,6,109,53,16.4,46.96526,-109.533691
NE,4.3,102,62,16.5,41.5,-100
NV,12.2,252,81,46,39.876019,-117.224121
NH,2.1,57,56,9.5,44,-71.5
NJ,7.4,159,89,18.8,39.833851,-74.871826
NM,11.4,285,70,32.1,34.307144,-106.018066
NY,11.1,254,86,26.1,43,-75
NC,13,337,45,16.1,35.782169,-80.793457
ND,0.8,45,44,7.3,47.650589,-100.437012
OH,7.3,120,75,21.4,40.367474,-82.996216
OK,6.6,151,68,20,36.084621,-96.921387
OR,4.9,159,67,29.3,44,-120.5
PA,6.3,106,72,14.9,41.203323,-77.194527
RI,3.4,174,87,8.3,41.742325,-71.742332
SC,14.4,279,48,22.5,33.836082,-81.163727
SD,3.8,86,45,12.8,44.5,-100
TN,13.2,188,59,26.9,35.860119,-86.660156
TX,12.7,201,80,25.5,31,-100
UT,3.2,120,80,22.9,39.41922,-111.950684
VT,2.2,48,32,11.2,44,-72.699997
VA,8.5,156,63,20.7,37.926868,-78.024902
WA,4,145,73,26.2,47.751076,-120.740135
WV,5.7,81,39,9.3,39,-80.5
WI,2.6,53,66,10.8,44.5,-89.5
WY,6.8,161,60,15.6,43.07597,-107.290283
